location,name,telefon lub inny kontakt,status,www1,last_activity_date,www2,email1,email2,address,city,date_created_text,description,dzien,miesiac,year_created,date_created,year_expired,full_address,lon,lat
Poznań,Zakład Makerspace,-,nieaktywny,https://www.facebook.com/zakladmakerspace/,2020-03-17T00:00:00Z,http://zaklad.org/,zaklad@zaklad.org,NA,NA,Poznań,20 lutego 2014,"Tworzymy przestrzeń, która pozwoli Ci zmaterializować pomysły, zwłaszcza te, na które w domu nie masz miejsca.
Tworzymy stanowiska warsztatowe z dostępem do narzędzi i maszyn, udostępniamy fachową wiedzę, materiały i technologię.
W formie miejskiego warsztatu organizujemy przestrzeń, narzędzia, maszyny, kompetencje i usługi. Skupiamy społeczność wytwórców z Poznania.",20,2,2014,2014-02-20T00:00:00Z,2020,NA Poznań Poland,16.934636,52.40257949999999
Poznań,PUT Lab,NA,nieaktywny,https://www.facebook.com/putlab/,2019-11-21T00:00:00Z,-,uczelnia@rkn.put.poznan.pl,NA,"Plac Marii Skłodowskiej-Curie 5, 60-965",Poznań,1 grudnia 2015,"Profil pierwszego w Polsce uczelnianego warsztatu dla Kół Naukowych i Organizacji Studenckich.
Projekt zrealizowany z inicjatywy Rady Kół Naukowych PP.",1,12,2015,2015-12-01T00:00:00Z,2019,"Plac Marii Skłodowskiej-Curie 5, 60-965 Poznań Poland",16.9181014,52.39421549999999
Poznań,Pracownia Kuniec Dymbiec,-,aktywny,https://www.facebook.com/kuniecdymbiec/,2022-04-20T00:00:00Z,-,pracowniakuniecdymbiec@gmail.com,NA,Łozowa 77,Poznań,18 kwietnia 2016,"Pracownia ""Kuniec Dymbiec"" - alternatywny sposób spędzania wolnego czasu: twórczo i kreatywnie. ZNAJDZIESZ NAS W ZESPOLE SZKÓŁ NR 2, UL. ŁOZOWA 77, POZNAŃ. WEJŚCIE OD STRONY BOISKA, PRZY PLACU ZABAW.
Pracownia „Kuniec Dymbiec”, to inicjatywa społeczna stworzona przez mieszkańców Dębca, niewielkiej dzielnicy na peryferiach Poznania. Przez osoby czujące potrzebę tworzenia miejsca gromadzącego tutejsze dzieci, młodzież oraz dorosłych, które oferowałoby im alternatywny sposób spędzania wolnego czasu: twórczo i kreatywnie.",18,4,2016,2016-04-18T00:00:00Z,2022,Łozowa 77 Poznań Poland,16.9084676,52.3665876
Łódź,FabLab Łódź,-,nieaktywny,https://www.facebook.com/FabLabLodz/,2020-05-26T00:00:00Z,http://fablablodz.org/,piotr@fablablodz.org,kontakt@fablablodz.org,"Al. Piłsudskiego 135, 92-318",Łódź,1 maja 2013,"Fundacja FabLab Łódź promuje kulturę zaradności poprzez szerzenie świadomości z dziedziny techniki, wzornictwa i sztuki.
Jeżeli szukasz przestrzeni warsztatowej, aby wystartować własny biznes, a może jedynie na chwilę skorzystać z warsztatu.
Chcesz poprowadzić i rozwinąć własne działania warsztatowo-edukacyjne.
Spotykać ludzi i wymieniać doświadczenia ze specjalistami z różnych dziedzin.
Skontaktuj się z nami kontakt@fablablodz.org lub po prostu odwiedź nas.",1,5,2013,2013-05-01T00:00:00Z,2020,"Al. Piłsudskiego 135, 92-318 Łódź Poland",19.5035132,51.7616004
Łódź,Pokład Makerspace,884 339 200,nieaktywny,https://www.facebook.com/PokladMakerspace/,2020-04-08T00:00:00Z,http://pokladldz.pl/,ahoj@pokladldz.pl,NA,"Piłsudskiego 135, 92-318",Łódź,1 kwietnia 2018,NA,1,4,2018,2018-04-01T00:00:00Z,2020,"Piłsudskiego 135, 92-318 Łódź Poland",19.5035132,51.7616004
Łódź,Textilab,883 258 210,aktywny,https://www.facebook.com/Textilab-229607041062056/,2022-05-11T00:00:00Z,http://www.textilab.pl/,textilab.lodz@gmail.com,NA,"Gdańska 37/3, 90-715",Łódź,23 sierpnia 2018,"Textilab to szkoleniowa i kreatywna pracownia krawiecka, która w praktyce uszy pasjonatów i amatorów szycia i projektowania.",23,8,2018,2018-08-23T00:00:00Z,2022,"Gdańska 37/3, 90-715 Łódź Poland",19.4479208,51.77260339999999
Łódź,Podwórko HIllarego,731 579 777,nieaktywny,https://www.facebook.com/podworkohilarego/,2022-04-30T00:00:00Z,NA,biuro@podworkohilarego.pl,NA,Zachodnia 53,Łódź,8 czerwca 2015,"Działalność w Podwórku Hilarego w Łodzi ul. Zachodnia 53 została zakończona. Dziękujemy :)
Podwórko Hilarego to kreatywna przestrzeń w centrum Łodzi (Zachodnia 53). Projekt zgłoszony przez ""Fundację COOL"" głosami internautów zwyciężył w programie Lechstarter.
Podwórko Hilarego jest kontynuacją ""Podwórkowego biura projektowego"", które cieszyło się ogromnym zainteresowaniem mieszkańców Łodzi. Obejmuje cykl bezpłatnych, wakacyjnych porad architektów i projektantów, organizację warsztatów kreatywnych dla studentów architektury i kierunków pokrewnych oraz udostępnienie przestrzeni młodym, zdolnym łodzianom, którzy chcieliby zaprezentować swoją twórczość.",8,6,2015,2015-06-08T00:00:00Z,2022,Zachodnia 53 Łódź Poland,19.4515791,51.77806529999999
Warszawa,Wytwórnia Fablab Kopernik,NA,aktywny,NA,2022-05-11T00:00:00Z,https://www.kopernik.org.pl/wytwornia,marta.kaminska@kopernik.org.pl,info@kopernik.org.pl,"Wybrzeże Kościuszkowskie 20, 00-390",Warszawa,NA,"Wytwórnia to FabLab edukacyjny, w którym dzieci, młodzież i edukatorzy uczą się zgodnie z zasadami pedagogiki konstrukcjonistycznej, samodzielnie projektując i budując różne przedmioty. Proces edukacji jest wspierany przez opiekuna, który prowadzi zajęcia metodą myślenia projektowego (design thinking).",NA,NA,NA,2017-10-31T00:00:00Z,2022,"Wybrzeże Kościuszkowskie 20, 00-390 Warszawa Poland",21.0278286,52.2421573
Warszawa,FabLab Powered by Orange,789 218 279,aktywny,https://www.facebook.com/fablabwwarszawie,2022-05-11T00:00:00Z,http://fablabwarszawa.pl/,maciek@robisz.to,maciek@robisz.to,Targowa 56 03-733,Warszawa,23 maja 2017,"FabLab powered by Orange (ang. fabrication laboratory) to miejsce stworzone w Warszawie przez Fundację Orange i Stowarzyszenie Robisz.to. Dzięki zaawansowanym technologiom (drukarki 3d, plotery laserowe, frezarki CNC, elektronika) oraz wsparciu trenerów można w nim nauczyć się jak twórczo korzystać z nowych technologii, by stworzyć dosłownie wszystko – od biżuterii po drona. Zajęcia i pracownie są otwarte dla dzieci, młodzieży i dorosłych, niezależnie od umiejętności i doświadczenia. FabLab powered by Orange skupia entuzjastów ruchu DIY (do-it-yourself), konstruktorów, makerów i majsterkowiczów.",23,5,2017,2017-05-23T00:00:00Z,2022,Targowa 56 03-733 Warszawa Poland,21.038517,52.252077
Warszawa,Warszawski Hackerspace,NA,aktywny,https://www.facebook.com/hackerspacepl/,2020-05-08T00:00:00Z,https://hackerspace.pl/,kontakt@hackerspace.pl,NA,NA,Warszawa,17 grudnia 2010,"Hackerspace to przestrzeń stworzona i utrzymywana przez grupę kreatywnych osób, które łączy fascynacja ogólno pojętym tworzeniem w duchu kultury hackerskiej.",17,12,2010,2010-12-17T00:00:00Z,2020,NA Warszawa Poland,21.0122287,52.2296756
